Cluster, Vectors, Silhouette, Gamma, SSW, SSB, AvgToCenter, MaxToCenter, AvgBetweenVectors, MaxBetweenVectors, Terms, Run
0, 8, 0.00005, 1.00000, 7.99914, 8.99957, 0.99995, 0.99996, 3.49997, 1.00000, 31474, "Monster Movies"
1, 80, 0.00001, 1.00000, 79.99545, 8.99854, 0.99997, 0.99999, 39.49903, 1.00000, 197591, "Monster Movies"
2, 8, 0.00006, 1.00000, 7.99893, 8.99925, 0.99993, 0.99996, 3.49997, 1.00000, 26838, "Monster Movies"
3, 11, 0.00004, 1.00000, 10.99902, 8.99934, 0.99996, 0.99998, 4.99996, 1.00000, 37720, "Monster Movies"
4, 10, 0.00010, 1.00000, 9.99742, 8.99815, 0.99987, 0.99996, 4.49993, 1.00000, 22046, "Monster Movies"
5, 6, 0.00005, 1.00000, 5.99922, 8.99914, 0.99993, 0.99996, 2.49996, 1.00000, 26221, "Monster Movies"
6, 2, 0.00012, 1.00000, 1.99945, 8.99962, 0.99986, 0.99988, 0.49995, 0.99991, 11675, "Monster Movies"
7, 13, 0.00022, 1.00000, 12.99555, 8.99898, 0.99983, 0.99997, 5.99979, 1.00000, 24760, "Monster Movies"
8, 17, 0.00002, 1.00000, 16.99900, 8.99976, 0.99997, 0.99998, 7.99996, 1.00000, 63902, "Monster Movies"
9, 7, 0.00009, 1.00000, 6.99840, 8.99906, 0.99989, 0.99996, 2.99990, 1.00000, 18098, "Monster Movies"
