AssignedCluster, SentenceCount, WordCount, Id
7, 11, 429, 666633
1, 3425, 31444, 8mm
1, 2202, 24583, 9thgate
1, 2911, 15850, alien
1, 2366, 22269, alien3_fasano
1, 2314, 22827, alien3_gibson
9, 2274, 22852, alien3_hill
8, 2849, 26351, alien3_red
9, 3034, 21790, alien3_twohy
1, 2326, 22929, alienresurrection_early
1, 3185, 27652, aliens
8, 2905, 28352, aliens_vs_predator
1, 1942, 16480, American Werewolf in London
1, 2097, 20263, americanpsycho
1, 2769, 26407, american_werewolf_in_paris
4, 705, 5334, Amityville_Horror
7, 1535, 15895, army_of_darkness
3, 1519, 14267, badlands
5, 1954, 24677, blade
5, 2154, 24705, blade2
5, 2242, 25098, blade3
2, 913, 12426, blairwitch_transcript
1, 3822, 26726, bloodmoon
1, 3822, 26726, bluevelvet
9, 662, 8067, bradandjanet
0, 646, 16303, bucket_of_blood
1, 2085, 22548, Carrie
1, 2452, 19460, cherryfalls
-1, 0, 2, clockwork_orange
1, 1657, 14562, company_of_wolves
8, 459, 3170, craft_transcript
1, 841, 8097, criswell
1, 2377, 21916, crow
4, 2503, 21092, cursethe
1, 3195, 27114, dark-city_early
1, 2780, 24527, dark-city_final
8, 2830, 27319, dayofthedead
1, 2555, 22687, deeprising
7, 718, 7422, draclang
7, 368, 4757, draclee
7, 535, 6084, draclugo
2, 425, 4968, dracpala
7, 571, 7019, dracspan
7, 737, 9390, dracula_bram_stoker
1, 2040, 22923, duskdawn
1, 3161, 27931, ed-wood
4, 257, 2602, evildead
7, 2000, 23551, evildead2script
5, 1037, 11457, evildead_script
9, 301, 2494, evilded2
1, 1611, 17498, exorcist
8, 2521, 29422, fantasticvoyage
-1, 0, 2, finaldestination
1, 3333, 30802, frank
1, 776, 8394, freaks
0, 666, 6937, FRIDAY
1, 1977, 17507, Friday1
1, 1694, 17972, friday13th3
1, 2026, 19047, friday13th6
-1, 0, 2, friday13thjasongoestohell
3, 832, 8605, friday13_4_finalchapter_transcript
1, 2306, 24743, fvj
1, 1929, 23073, ghostbusters-2
1, 2238, 24490, ghostbusters
1, 1695, 14433, H20
2, 718, 6115, h2script
3, 1412, 8122, halloween
1, 1713, 13367, halloween4
1, 252, 2685, halloween7treatment
1, 1789, 16648, halloween_script
2, 2586, 23781, heathers_early
2, 2566, 23279, heathers_final
1, 2371, 21075, hellraiser_hellseeker_orig
-1, 0, 2, hollowman
7, 601, 6161, horror
0, 2338, 20490, housenextdoor
3, 509, 15942, houseOfTheDamned
3, 2374, 20810, HOUSE_OF_1000_CORPSES
5, 1990, 25440, IAmLegend
2, 936, 11702, ikwydls
1, 2787, 22521, interview
1, 2416, 20523, iskwydls
0, 3130, 26325, JacobsLadder
1, 2637, 21713, JASON_X
8, 1751, 22426, jaws2finaldraft
8, 2196, 25095, jaws2_revised_final_draft
1, 1920, 17513, jaws3_1st_draft
8, 1874, 24670, jaws_final_draft
8, 2202, 28747, jaws_late_draft
0, 2204, 22987, jaws_the_revenge
1, 2543, 32314, jurassic2_thw
8, 3456, 30603, JurassicPark_1stDraft
1, 2669, 25968, jvsf_bm
8, 2254, 27215, kingkong
1, 3194, 31638, lambs2nddraft
1, 3184, 31112, lambsfinal
5, 4357, 35749, legend
1, 2645, 24082, losthighway
1, 2697, 24492, lostsouls
1, 2483, 23810, M
1, 2254, 20295, Metropolis
1, 2191, 25088, MIB_production
1, 2512, 23899, MIB_rough
1, 2380, 20988, mimic
2, 1921, 21826, Misery
8, 2461, 27009, mummy
6, 2425, 26334, natural_born_killers_early
6, 2809, 31829, natural_born_killers_final
1, 2534, 25649, nightmare
1, 1921, 21275, nightmare2
1, 2057, 19304, nightmare3
0, 1919, 17893, nightmare4
0, 2447, 22695, nightmare5
0, 2671, 24729, nightmare6
2, 2089, 20267, nightmare7
1, 2990, 26257, nightmare_on_elm_street
-1, 0, 2, nightmare_on_elm_street2
-1, 0, 2, nightmare_on_elm_street3
1, 1889, 23532, noh
7, 95, 2478, nosferatu
1, 1523, 15684, odh
8, 2043, 23554, predator
1, 1187, 14712, psycho
1, 1850, 17018, rebecca
1, 3284, 28384, relic
1, 2947, 23025, resevil
7, 1631, 15286, rhps
4, 800, 9194, runningman
1, 2812, 22908, sandman_randr
3, 2574, 21623, scream
4, 2616, 20370, scream2
4, 903, 11557, scream2transcript
4, 1788, 18332, scream3_early_draft
4, 1365, 14963, scream3_transcript
3, 1376, 14467, screamtranscript
1, 3345, 29278, se7en
1, 2245, 19213, sevendaystolive_1st
1, 2245, 19209, sevendaystolive_2nd
7, 2069, 16730, shallow
9, 1287, 13391, ShockTreatmentShootingScript
4, 43, 900, shock_treat_aud
9, 727, 8815, shock_tr_script
1, 3036, 22917, sixth-sense
7, 3265, 25260, sleepy-hollow
1, 2831, 23495, sphere_early
1, 3010, 27862, sphere_final
1, 1879, 17857, stigmata
1, 1960, 17930, StoneTape
8, 615, 15681, strangehold
1, 828, 8560, the adams family
1, 3310, 32591, TheBirds
3, 1520, 15747, thefaculty
-1, 0, 2, thelostboys
1, 2762, 36034, TheMorguesc2
1, 2835, 29878, The_Green_Mile
4, 126, 2593, trans
1, 2768, 30880, twelvemonkeys
3, 3061, 24424, twinpeaksfwwm
1, 2513, 20658, ulegend
9, 2172, 18663, verybadthings
8, 1039, 12228, waxwork
3, 1478, 25385, whiteang
8, 2802, 25482, wildthings
1, 2751, 23414, willard
3, 3437, 30667, witching_hour
1, 737, 9930, xfiles
8, 2905, 27990, xmenscript
1, 1785, 19333, young
1, 1445, 12454, zombie
